date,temp,rain,solar,snow,wind,press,humid,cloud
2019/5/28,23.5,1.0,12.52,0,5.8,1003.6,61,10.0
2019/5/29,20.2,7.5,14.61,0,3.4,1001.5,85,10.0
2019/5/30,21.2,0.0,28.31,0,3.6,1010.0,61,5.8
2019/5/31,21.6,0.0,10.10,0,3.8,1008.2,74,10.0
2019/6/1,21.8,0,17.12,0,2.8,1006.5,71,10.0
2019/6/2,22.0,0,10.43,0,2.3,1008.3,76,10.0
2019/6/3,22.2,0.0,19.79,0,2.9,1007.7,74,9.5
2019/6/4,22.4,0,21.15,0,3.1,1009.3,75,7.8
2019/6/5,22.6,0,13.09,0,2.9,1007.7,77,9.3
2019/6/6,25.2,0,26.21,0,2.7,1008.1,69,6.0
2019/6/7,21.0,19.5,3.08,0,2.1,1004.8,94,10.0
2019/6/8,20.8,0.0,10.48,0,2.2,998.1,88,9.3
2019/6/9,17.5,10.0,6.07,0,2.7,1005.9,89,10.0
2019/6/10,16.2,92.5,2.28,0,2.9,1002.7,100,10.0
2019/6/11,18.3,1.0,14.88,0,2.8,1003.6,79,8.8
2019/6/12,18.0,0.5,10.87,0,2.1,1006.0,78,9.5
2019/6/13,20.7,0,29.48,0,3.2,1009.7,74,1.5
2019/6/14,22.2,0.0,24.10,0,3.7,1010.5,72,7.5
2019/6/15,17.3,51.0,2.77,0,2.6,998.5,99,10.0
2019/6/16,23.5,5.0,26.30,0,3.6,988.7,66,3.3
2019/6/17,23.6,0,29.31,0,4.2,1005.4,50,6.5
2019/6/18,23.4,0,24.29,0,3.5,1008.8,67,6.0
2019/6/19,23.5,0,23.27,0,3.0,1003.9,76,6.0
2019/6/20,24.1,0.0,17.31,0,2.7,1003.1,77,9.3
2019/6/21,24.6,0.0,19.33,0,4.0,1006.0,80,10.0
2019/6/22,22.2,6.0,8.61,0,3.0,1002.0,91,8.0
2019/6/23,21.4,0.0,4.96,0,2.2,1002.8,88,10.0
2019/6/24,19.1,25.5,6.44,0,2.5,1007.9,98,10.0
2019/6/25,22.3,0,22.57,0,2.6,1014.2,81,6.8
2019/6/26,24.7,0,27.73,0,3.7,1011.9,75,8.5
2019/6/27,25.6,2.0,12.29,0,4.4,1004.5,80,10.0
2019/6/28,25.2,3.5,13.38,0,3.0,997.8,87,10.0
2019/6/29,20.2,3.0,3.55,0,1.9,1001.3,99,10.0
2019/6/30,21.6,5.5,3.25,0,1.6,996.9,99,10.0
2019/7/1,22.7,1.5,4.02,0,1.6,1001.3,100,10.0
2019/7/2,23.8,0.5,9.84,0,1.6,1005.1,94,10.0
2019/7/3,24.9,1.0,12.18,0,2.1,1007.8,86,10.0
2019/7/4,22.7,10.5,4.24,0,3.7,1002.4,95,10.0
2019/7/5,21.9,4.5,10.53,0,2.2,1004.1,84,9.0
2019/7/6,21.0,14.5,6.31,0,3.0,1002.9,93,10.0
2019/7/7,19.2,22.5,4.87,0,3.2,1003.7,99,10.0
2019/7/8,20.3,0.0,12.57,0,2.8,1006.6,81,10.0
2019/7/9,19.7,0.0,7.08,0,2.6,1007.4,79,10.0
2019/7/10,21.0,0.0,13.57,0,2.7,1010.0,75,9.3
2019/7/11,19.9,2.0,8.24,0,2.2,1011.5,84,10.0
2019/7/12,20.2,12.5,5.86,0,1.6,1004.0,100,10.0
2019/7/13,23.4,0.5,11.44,0,2.1,1001.4,90,10.0
2019/7/14,21.3,39.0,3.83,0,1.9,999.5,100,10.0
2019/7/15,21.3,7.0,8.33,0,2.6,1005.1,93,10.0
2019/7/16,20.5,33.5,6.21,0,1.9,1010.3,100,10.0
2019/7/17,23.9,0.5,15.75,0,2.1,1011.0,89,8.5
2019/7/18,25.6,9.5,9.56,0,2.0,1010.8,89,10.0
2019/7/19,26.7,3.5,16.83,0,2.7,1008.4,89,9.5
2019/7/20,26.5,0.0,7.92,0,1.9,1011.6,89,10.0
2019/7/21,25.0,0.0,5.57,0,2.1,1011.7,93,10.0
2019/7/22,22.7,0.5,3.34,0,1.8,1008.2,98,10.0
2019/7/23,24.5,4.0,9.65,0,1.9,1003.8,95,9.8
2019/7/24,26.8,6.0,17.00,0,2.4,1004.6,86,7.8
2019/7/25,28.0,0.0,19.07,0,2.9,1007.2,82,7.5
2019/7/26,28.5,0.5,24.37,0,4.2,1009.1,76,4.8
2019/7/27,28.0,4.0,17.06,0,5.4,1007.5,86,8.0
2019/7/28,27.7,15.0,18.72,0,3.6,1009.0,88,8.3
2019/7/29,29.0,0.0,23.98,0,2.6,1009.4,83,5.5
2019/7/30,29.5,0,25.36,0,3.0,1008.0,81,4.3
2019/7/31,30.0,0,25.75,0,2.8,1008.5,81,7.8
2019/8/1,30.5,0,20.55,0,2.5,1008.5,80,1.8
2019/8/2,30.2,0,20.24,0,2.7,1008.4,80,2.8
2019/8/3,29.4,0,25.03,0,2.9,1008.7,78,1.0
2019/8/4,29.4,0,24.62,0,2.8,1009.5,76,3.0
2019/8/5,29.8,0,26.72,0,3.0,1009.5,75,2.8
2019/8/6,30.3,0,24.18,0,3.8,1008.4,76,7.5
2019/8/7,30.4,0,24.10,0,3.1,1007.4,74,6.5
2019/8/8,29.9,0,22.46,0,2.8,1006.6,78,4.3
2019/8/9,30.1,0,25.10,0,3.3,1005.5,74,6.5
2019/8/10,29.6,0,22.69,0,3.2,1005.4,76,4.3
2019/8/11,29.4,0.0,23.77,0,2.8,1005.9,76,6.0
2019/8/12,28.8,0.5,17.16,0,2.6,1005.7,81,10.0
2019/8/13,29.3,0.0,15.57,0,2.6,1003.8,83,6.8
2019/8/14,29.2,8.5,15.38,0,3.8,1003.4,85,9.0
2019/8/15,29.2,20.0,15.00,0,6.4,1000.1,83,8.5
2019/8/16,29.0,0.0,9.18,0,7.1,995.4,79,9.0
2019/8/17,30.3,0,24.24,0,3.7,999.0,73,1.0
2019/8/18,30.1,0,21.51,0,2.4,1004.4,73,5.8
2019/8/19,28.1,0.5,10.30,0,3.2,1008.5,83,9.8
2019/8/20,26.5,13.0,6.94,0,2.3,1007.5,91,9.3
2019/8/21,27.0,3.0,13.22,0,2.9,1006.7,83,9.3
2019/8/22,26.0,20.0,9.51,0,2.3,1006.6,91,10.0
2019/8/23,26.3,4.5,5.93,0,3.0,1002.6,94,10.0
2019/8/24,27.3,0.0,18.84,0,2.5,1004.7,79,7.8
2019/8/25,25.8,15.0,23.13,0,2.5,1006.9,78,6.5
2019/8/26,25.3,0.0,11.71,0,2.8,1010.3,76,7.5
2019/8/27,25.3,6.0,12.95,0,2.4,1011.1,84,10.0
2019/8/28,25.6,7.0,7.19,0,4.4,1004.3,91,9.8
2019/8/29,28.9,0.0,19.48,0,3.4,1003.7,75,7.8
2019/8/30,26.0,12.0,3.95,0,3.2,1005.3,89,8.3
2019/8/31,27.3,0.0,14.42,0,2.1,1008.7,81,9.0
2019/9/1,27.7,0.0,15.27,0,2.3,1014.0,77,10.0
2019/9/2,27.6,0,14.14,0,2.4,1013.9,83,6.8
2019/9/3,25.8,1.5,7.31,0,2.6,1014.0,88,8.5
2019/9/4,23.7,0.0,6.48,0,2.5,1016.0,84,10.0
2019/9/5,25.7,0,10.00,0,1.8,1015.6,81,10.0
2019/9/6,27.9,0,19.13,0,2.8,1013.7,79,3.8
2019/9/7,28.4,0.0,18.61,0,2.7,1012.6,80,5.5
2019/9/8,29.1,8.5,17.11,0,3.1,1008.9,82,6.3
2019/9/9,29.0,119.0,15.63,0,5.6,1000.4,79,8.0
2019/9/10,29.9,0.5,20.40,0,2.4,1010.1,74,7.5
2019/9/11,27.4,7.5,13.36,0,2.4,1008.9,88,7.5
2019/9/12,25.1,0,15.20,0,3.1,1010.2,70,7.3
2019/9/13,22.4,0,4.14,0,2.8,1013.9,67,10.0
2019/9/14,22.1,0.0,7.92,0,2.1,1012.1,80,10.0
2019/9/15,25.2,0.5,18.87,0,2.7,1007.0,75,7.0
2019/9/16,22.9,28.5,3.31,0,2.2,1000.3,99,7.5
2019/9/17,25.8,0,20.44,0,2.7,1006.5,79,5.5
2019/9/18,21.2,9.5,5.70,0,2.4,1008.7,90,9.3
2019/9/19,22.1,0.0,18.40,0,2.7,1010.7,75,7.8
2019/9/20,22.8,0.0,17.72,0,2.4,1014.5,65,9.5
2019/9/21,21.8,0.0,7.25,0,2.3,1018.4,75,10.0
2019/9/22,22.4,17.0,14.94,0,2.3,1015.6,80,9.5
2019/9/23,26.0,3.5,12.99,0,5.5,1005.1,85,9.0
2019/9/24,25.4,1.0,13.69,0,2.6,1008.2,75,6.8
2019/9/25,24.3,0.0,17.56,0,2.6,1016.4,69,7.5
2019/9/26,22.8,0,15.79,0,2.5,1023.2,73,7.0
2019/9/27,23.0,0,16.40,0,2.2,1023.5,76,5.0
2019/9/28,24.4,0,14.97,0,2.9,1019.4,74,9.3
2019/9/29,24.7,0.0,10.88,0,2.4,1013.1,83,9.8
2019/9/30,25.2,0,13.01,0,2.2,1013.6,70,6.8
2019/10/1,24.5,0,18.92,0,2.3,1017.3,70,5.3
2019/10/2,23.9,0,17.32,0,2.2,1017.1,75,4.3
2019/10/3,24.5,0.0,12.81,0,3.9,1012.2,74,8.8
2019/10/4,24.8,10.0,13.10,0,5.0,1001.2,76,7.3
2019/10/5,26.1,0,18.84,0,3.7,1006.1,58,2.5
2019/10/6,20.5,5.5,4.11,0,3.1,1015.3,85,9.8
2019/10/7,20.0,7.0,11.83,0,2.3,1018.5,79,8.8
2019/10/8,21.7,5.5,8.84,0,2.4,1007.1,89,10.0
2019/10/9,20.8,0,19.06,0,3.5,1012.5,50,2.8
2019/10/10,19.4,9.0,14.17,0,2.7,1016.1,73,5.8
2019/10/11,19.6,7.5,3.76,0,2.7,1011.1,97,10.0
2019/10/12,23.3,209.5,0.50,0,5.5,990.7,98,10.0
2019/10/13,24.5,0.0,18.21,0,4.4,1006.4,53,2.8
2019/10/14,17.0,5.0,3.01,0,3.0,1017.4,88,10.0
2019/10/15,18.4,0.0,10.79,0,2.8,1018.5,80,10.0
2019/10/16,16.1,0.0,4.96,0,2.2,1022.0,69,9.5
2019/10/17,16.2,4.5,3.58,0,1.8,1022.5,87,10.0
2019/10/18,16.5,5.5,4.67,0,2.5,1024.1,91,10.0
2019/10/19,17.4,53.5,4.57,0,2.3,1013.6,99,9.5
2019/10/20,20.1,0.0,8.43,0,1.9,1014.2,85,10.0
2019/10/21,18.2,6.5,6.49,0,2.8,1016.9,78,10.0
2019/10/22,15.4,65.0,3.08,0,3.6,1010.3,93,9.8
2019/10/23,18.5,0.0,16.20,0,2.1,1013.9,76,5.3
2019/10/24,18.1,3.0,6.31,0,3.1,1020.0,81,10.0
2019/10/25,15.1,120.5,0.72,0,3.9,1009.2,99,10.0
2019/10/26,18.1,0.5,12.64,0,2.1,1006.6,86,7.0
2019/10/27,18.3,0.0,8.56,0,2.1,1009.4,78,9.5
2019/10/28,17.4,0.0,13.67,0,2.5,1015.5,71,7.0
2019/10/29,14.5,11.5,1.96,0,2.3,1013.3,93,7.8
2019/10/30,16.5,0,15.22,0,1.4,1014.2,81,3.5
2019/10/31,16.8,0,10.30,0,1.8,1015.7,83,5.0
2019/11/1,17.4,0,14.72,0,2.0,1012.4,73,0.0
2019/11/2,15.7,0,14.22,0,2.2,1017.2,63,4.0
2019/11/3,15.8,10.5,5.93,0,2.0,1012.5,79,10.0
2019/11/4,14.6,1.0,14.20,0,2.2,1011.5,74,4.5
2019/11/5,13.7,0,14.89,0,2.1,1012.4,58,0.0
2019/11/6,14.3,0,14.68,0,1.8,1011.7,61,0.0
2019/11/7,16.0,0,12.90,0,2.8,1009.2,62,5.3
2019/11/8,15.1,0,13.79,0,2.9,1012.6,54,4.0
2019/11/9,13.3,0,11.83,0,2.2,1013.6,62,6.5
2019/11/10,13.9,0.0,13.70,0,2.3,1011.6,64,3.8
2019/11/11,12.9,6.5,7.37,0,2.0,1006.3,89,8.3
2019/11/12,15.1,0,13.95,0,3.2,1011.0,59,0.3
2019/11/13,13.3,0.5,6.01,0,2.2,1016.6,62,8.0
2019/11/14,16.9,0.0,11.29,0,3.3,1006.1,58,5.3
2019/11/15,12.6,0,13.11,0,1.9,1013.5,64,2.8
2019/11/16,12.8,0,13.19,0,1.9,1013.2,65,0.3
2019/11/17,13.4,0,13.04,0,2.8,1019.2,54,3.8
2019/11/18,16.1,0.0,10.63,0,4.3,1013.2,68,6.8
2019/11/19,15.8,3.0,9.13,0,2.6,1004.6,74,8.0
2019/11/20,12.0,0,12.40,0,4.0,1016.6,40,3.8
2019/11/21,11.3,0,12.18,0,2.6,1027.2,46,3.3
2019/11/22,8.1,47.0,0.99,0,3.0,1028.7,87,10.0
2019/11/23,11.3,60.5,1.57,0,3.5,1024.4,100,10.0
2019/11/24,15.9,19.0,4.85,0,2.3,1014.7,99,10.0
2019/11/25,16.6,1.0,7.30,0,2.2,1013.1,89,8.0
2019/11/26,8.8,1.5,1.67,0,3.2,1025.9,81,10.0
2019/11/27,9.3,2.5,2.03,0,1.8,1019.2,89,10.0
2019/11/28,8.5,3.5,1.02,0,2.5,1017.5,84,10.0
2019/11/29,5.2,0,12.40,0,2.4,1021.4,56,0.5
2019/11/30,7.3,0,12.14,0,2.4,1024.6,56,0.0
2019/12/1,7.4,0,7.30,0,1.7,1022.4,67,6.8
2019/12/2,9.5,36.0,1.97,0,2.0,1007.8,94,8.0
2019/12/3,11.8,0.0,6.95,0,2.4,1009.7,55,2.8
2019/12/4,10.2,0,11.49,0,2.1,1014.5,51,0.0
2019/12/5,9.6,0,10.91,0,2.3,1017.3,50,4.5
2019/12/6,8.0,0,4.38,0,2.2,1021.5,52,10.0
2019/12/7,5.5,1.5,1.13,0,1.9,1020.4,74,10.0
2019/12/8,7.4,0,11.46,0,1.9,1019.7,59,0.0
2019/12/9,6.4,1.0,5.04,0,2.7,1024.3,66,7.5
2019/12/10,10.2,5.5,7.57,0,1.9,1019.5,87,10.0
2019/12/11,11.7,0.5,6.34,0,1.9,1012.6,86,10.0
2019/12/12,11.7,0,10.66,0,2.7,1009.4,62,1.5
2019/12/13,7.5,0,3.28,0,2.4,1022.9,52,9.8
2019/12/14,9.4,0,10.73,0,2.4,1015.8,56,2.5
2019/12/15,8.7,0,9.89,0,3.6,1022.5,44,5.8
2019/12/16,7.8,0,10.88,0,1.9,1024.9,60,5.0
2019/12/17,8.2,1.0,2.79,0,1.8,1015.5,85,8.8
2019/12/18,11.1,0.0,8.07,0,1.8,1008.7,78,6.3
2019/12/19,9.0,0.0,1.23,0,2.1,1016.0,75,10.0
2019/12/20,10.6,0,10.74,0,2.3,1015.2,64,6.0
2019/12/21,8.1,0.0,2.54,0,2.1,1020.8,73,10.0
2019/12/22,6.8,16.5,2.08,0,2.2,1016.1,87,9.8
2019/12/23,6.8,13.5,8.09,0,2.6,1011.8,86,7.0
2019/12/24,8.2,0,10.49,0,3.5,1018.8,53,5.5
2019/12/25,5.9,0.0,4.19,0,2.0,1021.5,56,9.3
2019/12/26,7.8,0,4.29,0,2.0,1009.6,68,10.0
2019/12/27,8.7,0.5,8.61,0,4.0,1001.8,68,2.8
2019/12/28,6.8,0,11.54,0,3.5,1019.9,44,0.5
2019/12/29,7.0,0,11.16,0,1.9,1026.5,50,4.8
2019/12/30,6.7,0.5,2.56,0,1.8,1021.0,72,10.0
2019/12/31,8.2,0,10.67,0,3.6,1009.1,60,2.8
